,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
636,Drive,"Drive is a 2025 Indian Telugu-language thriller film written and directed by Jenuse Mohamed.[1] The film was produced by Bhavya Creations and stars Aadhi Pinisetty, and Madonna Sebastian.[2]",Jenuse Mohamed,Jenuse Mohamed,V. Ananda Prasad,"Aadhi Pinisetty, Madonna Sebastian",Abinandhan Ramanujam,Prawin Pudi,12 December 2025,India,Telugu
637,Driver's Ed,"Driver's Ed is a 2025 American comedy film directed by Bobby Farrelly, written by Thomas Moffett, and starring Sam Nivola, Kumail Nanjiani and Molly Shannon.",Bobby Farrelly,Thomas Moffett,"Jonas Pate, David Stone, Jennifer Pate","Sam Nivola, Sophie Telegadis, Mohana Krishnan, Aidan Laprete, Molly Shannon, Kumail Nanjiani",Itai Ne'eman,Julie Garces,"September 12, 2025(TIFF)",United States,English
638,Drop,"Drop is a 2025 American mystery thriller film[5] directed by Christopher Landon and written by Jillian Jacobs and Chris Roach. It stars Meghann Fahy, Brandon Sklenar, Violett Beane, and Jeffery Self. In the film, a widowed mother receives threatening messages during her first date in years, which causes her to question her date and fear for her safety.",Christopher Landon,"Jillian Jacobs, Chris Roach","Michael Bay, Brad Fuller, Cameron Fuller, Jason Blum","Meghann Fahy, Brandon Sklenar, Violett Beane, Jeffery Self",Marc Spicer,Ben Baudhuin,"March 9, 2025(SXSW)",United States,English
639,Drunken Noodles,"Drunken Noodles is a 2025 drama film written, produced, directed and edited by Lucio Castro. It stars Laith Khalifeh, Joél Isaac, Ezriel Kornel, Céline Clermontois, John Arthur Peetz, Guillermo García Arriaza and Matthew Risch.",Lucio Castro,Lucio Castro,"Lucio Castro, Barton Cortright, Joanne Lee, Julia Bloch","Laith Khalifeh, Joél Isaac, Ezriel Kornel, Céline Clermontois, John Arthur Peetz, Guillermo García Arriaza, Matthew Risch",Barton Cortright,Lucio Castro,"May 18, 2025(Cannes)","United States, Argentina",English
640,Dry Leaf,"Dry Leaf (Georgian: ხმელი ფოთოლი) is a 2025 experimental road movie produced, written and directed by Alexandre Koberidze, starring his father David Koberidze as Irakli, it follows a father searching his missing daughter across rural Georgia.[1]",Alexandre Koberidze,,"Mariam Shatberashvili, Luise Hauschild, Alexandre Koberidze","David Koberidze, Otar Nijaradze",Alexandre Koberidze,Alexandre Koberidze,13 August 2025(Locarno),"Germany, Georgia",Georgian
641,Dude,"Dude Punda is a 2025 Indian Tamil-language romantic action comedy film written and directed by Keerthiswaran. Produced by Mythri Movie Makers, the film stars Pradeep Ranganathan and Mamitha Baiju in the lead, alongside R. Sarathkumar, Hridhu Haroon, Rohini, Aishwarya Sharma and Neha Shetty.",Keerthiswaran,Keerthiswaran,"Naveen Yerneni, Y. Ravi Shankar","Pradeep Ranganathan, Mamitha Baiju, Neha Shetty, Hridhu Haroon, R. Sarathkumar",Niketh Bommi,Barath Vikraman,17 October 2025,India,Tamil
642,Due West,"Due West is a 2025 American independent drama film starring Adrianne Palicki, Henry Thomas, Ciara Bravo, Matt Lauria, and Odette Annable. It is co-written by Evan Miller and Hardy Janson, with Miller as director.",Evan Miller,,"Adrianne Palicki, Ezra Venetos, Beau Harris, Caitlin McFarland, Emily Gipson","Adrianne Palicki, Henry Thomas, Ciara Bravo, Matt Lauria, Odette Annable",Jonathan Nicholas,Sandra Adair,"April 26, 2025(Dallas International Film Festival)",United States,English
643,Dump of Untitled Pieces,"Facing imminent eviction, Aslı, an idealistic young photographer and her hapless roommate, Murat, attempt to sell her work to galleries for the first time, embarking on a bumpy journey through the collapsing art market of Istanbul.",Melik Kuru,Melik Kuru,"Hilal Şenel, Fahriye Ismayilova","Manolya Maya, Ekremcan Aslandağ, Tülin Özen, Tuğrul Tülek",Barış Aygen,Serhad Mutlu,14 November 2025(Tallinn Black Nights Film Festival),Turkey,Turkish
644,The Dumpling Queen,"The Dumpling Queen (simplified Chinese: 水饺皇后; traditional Chinese: 水餃皇后) is a 2025 biographical drama film co-produced and directed by Andrew Lau.[4] Starring Ma Li as the titular character, the film is adapted from the entrepreneurial journey of Chong Kin-wo [zh], the founder of the Hong Kong frozen food brand Wanchai Ferry.[5] It tells the story of her struggle from being a single mother who fled to Hong Kong to becoming a well-known entrepreneur. The film was released in China on April 30, 2025.",Andrew Lau,"Han Jianü, Zhang Mengchu, Theresa Tang","Mandy Law, Andrew Lau","Ma Li, Kara Wai, Zhu Yawen","Andrew Lau, Wang Hao","Lin Zhuangyu, Chen Yuxuan, Li Jianxiang","April 30, 2025","China, Hong Kong, [, 1, ]","Mandarin, Cantonese"
645,Duplicity,"Duplicity (marketed as Tyler Perry's Duplicity), is a 2025 American mystery thriller film written, produced, and directed by Tyler Perry. The film stars Kat Graham, Meagan Tandy, Tyler Lepley and RonReaco Lee.",Tyler Perry,Tyler Perry,"Dianne Ashford, Will Areu, Angi Bones, Tyler Perry","Kat Graham, Meagan Tandy, Tyler Lepley, RonReaco Lee",Cory Burmester,Larry Sexton,"March 20, 2025",United States,English
646,Durgapur Junction,"Durgapur Junction is a 2025 Indian Bengali-language medico-crime thriller film written, produced and directed by Arindam Bhattacharya under the banner of Dreamliner Entertainment. The film stars Swastika Mukherjee, Vikram Chatterjee and Ekavali Khanna in the lead roles.[1]",Arindam Bhattacharya,,Arindam Bhattacharya,"Vikram Chatterjee, Swastika Mukherjee, Ekavali Khanna",Prosenjit Chowdhury,Sujay Datta Ray,25 April 2025,India,Bengali
647,Durlabh Prasad Ki Dusri Shadi,"Durlabh Prasad Ki Dusri Shadi is a 2025 Indian Hindi-language romantic comedy film directed by Siddhant Raj Singh. It stars Sanjay Mishra and Mahima Chaudhary in the lead.[2][3][4] This film is produced by Ekansh Bachchan and Harsha Bachchan, with Ramit Thakur as co-producer.[5]",Siddhant Raj Singh,,"Ekansh Bachchan, Harsha Bachchan, Co-Producer Ramit Thakur, [, 1, ]","Sanjay Mishra, Mahima Chaudhary",Anil Singh,Sanjay Sankla,19 December 2025,India,Hindi
648,Duse,"The film had its world premiere in the main competition of the 82nd Venice International Film Festival on 3 September 2025, where it was nominated for the Golden Lion.[5] It was theatrically released in Italy by PiperFilm on 18 September,[6] and in France by Ad Vitam on 14 January 2026.[7]",Pietro Marcello,,,"Valeria Bruni Tedeschi, Noémie Merlant, Mimmo Borrelli, Fausto Russo Alesi, Marcello Mazzarella",Marco Graziaplena,"Fabrizio Federico, [, 2, ], Cristiano Travaglioli",3 September 2025(Venice),"Italy, France",Italian
649,Dust Bunny,"Dust Bunny is a 2025 American fantasy action film written, produced and directed by Bryan Fuller in his feature film directorial debut. It stars Mads Mikkelsen, Sophie Sloan, Sheila Atim, David Dastmalchian, and Sigourney Weaver. It follows a hit man who is approached by an eight-year-old girl to kill the ""monster"" under her bed that she claims ""ate"" her family, suspecting they were actually killed by dangerous assassins who are after him.",Bryan Fuller,Bryan Fuller,"Basil Iwanyk, Erica Lee, Bryan Fuller","Mads Mikkelsen, Sophie Sloan, Sheila Atim, David Dastmalchian, Sigourney Weaver","Nicole Hirsch Whitaker, [, 1, ]","Lisa Lassek, [, 2, ]","September 9, 2025(TIFF)",United States,English
650,The Dutchman,"The Dutchman is a 2025 American thriller film directed by Andre Gaines, co-writing along with Qasim Basir, based on the 1964 play Dutchman by Amiri Baraka. The film stars André Holland, Kate Mara, Zazie Beetz, Stephen McKinley Henderson, Aldis Hodge, and Lauren E. Banks.[1]",Andre Gaines,,"Jonathan T. Baker, Andre Gaines","André Holland, Kate Mara, Zazie Beetz, Stephen McKinley Henderson, Aldis Hodge, Lauren E. Banks",Frank G. DeMarco,Joel Viertel,"March 8, 2025(SXSW)",United States,English
651,The Dynasty,,,,,,,,,,
652,Džob,This article related to a Czech film of the 2020s is a stub. You can help Wikipedia by adding missing information.,"Tomáš Vorel, [, 1, ]","Tomáš Vorel, Sany, Barbora Vlčková, [, 1, ]","Miloslav Šmídmajer, Jaroslav Sedláček, Tomáš Vorel, [, 1, ]","Tomáš Vorel Jr.,, Jiří Mádl, [, 1, ]","Tomáš Vorel, [, 1, ]","Filip Maryško, [, 1, ]",31 July 2025,Czech Republic,Czech
653,E,"E is a Finnish experimental drama film directed and written by musician and filmmaker Anna Eriksson. It is the concluding part of Eriksson's letter trilogy, with the previous installments being M (2018) and W (2022). The trilogy explores themes of femininity, power, sexuality, and the subconscious through cinematic expression.[2][3][4]",Anna Eriksson,Anna Eriksson,Matti Pyykkö,"Anna Eriksson, Parco Lee, [, 1, ], Johannes Haasbroek, Elize van Huyssteen",Matti Pyykkö,Anna Eriksson,9 August 2025(Locarno),Finland,"Swedish, English"
654,E Valayam,"The songs are composed by the Indian music director Jerry Amaldev, with lyrics by Rafeeq Ahmed and Santhosh Varma.",Revathy S Varmha,Sreejith Mohandas,Joby Joy Vilanganpara,"Ashly Usha, Renji Panickar, Muthumani, Nandu, Shalu Rahim",Aravind Kamalanadhan,Sasi Kumar,13 June 2025,India,Malayalam
655,Eagles of the Republic,"Eagles of the Republic is a 2025 Egyptian Arabic-language political thriller film written and directed by Tarik Saleh, as the final installment of his Cairo trilogy, following The Nile Hilton Incident (2017) and Boy from Heaven (2022).[3] It stars Fares Fares as George Fahmy, an Egyptian actor who is pressured to star in a propaganda film about the country's dictator Abdel Fattah el-Sisi.[4] It also stars Lyna Khoudri, Amr Waked, Zineb Triki and Cherien Dabis.",Tarik Saleh,Tarik Saleh,"Linus Stöhr Torell, Linda Mutawi, Johan Lindström, Alexandre Mallet-Guy","Fares Fares, Lyna Khoudri, Amr Waked, Zineb Triki",Pierre Aïm,Theis Schmidt,19 May 2025(Cannes),"Sweden, France, Denmark, Finland",Egyptian Arabic
656,Early Days,"Early Days is a 2025 debut romance-drama film directed by Priyankar Patra.[1] It had its world premiere in the New Visions Competition of the Red Sea International Film Festival.[2] The film explores relationships on the digital era and follows a couple in Mumbai, India whose love becomes intertwined with social media.[3]",Priyankar Patra,Priyankar Patra,"Priyankar Patra, Anupam Sinha Roy, Aditya Vikram Sengupta, Zara Sengupta, Isabella-Sreyashii Sen, Olivier A. Dock, Raunak Rakhit, Dipankar Patra, Baisakhi Patra","Manasi Kaushik, Sarthak Sharma",Priyankar Patra,Anupam Sinha Roy,2025,"India, ,, Singapore",Hindi
657,East of Wall,"East of Wall is a 2025 American drama film, written and directed by Kate Beecroft, in her directorial debut. It stars Tabatha Zimiga, Porshia Zimiga, Scoot McNairy and Jennifer Ehle.",Kate Beecroft,Kate Beecroft,"Lila Yacoub, Kate Beecroft, Melanie Ramsayer, Shannon Moss","Tabatha Zimiga, Porshia Zimiga, Scoot McNairy, Jennifer Ehle",Austin Shelton,Jennifer Vecchiarello,"January 24, 2025(Sundance)",United States,English
658,Easy's Waltz,Easy's Waltz is a 2025 American drama film written and directed by Nic Pizzolatto in his feature film directorial debut.[1] The film stars Vince Vaughn and Al Pacino.[2][3],Nic Pizzolatto,Nic Pizzolatto,"Christopher Lemole, Tim Zajaros, Margot Hand, Nic Pizzolatto","Vince Vaughn, Al Pacino, Kate Mara, Simon Rex, Shania Twain, Cobie Smulders, Mary Steenburgen, Timothy Simons, Fred Melamed, Sophia Ali",Nigel Bluck,"Leo Trombetta, Peter Teschner","September 11, 2025(TIFF)",United States,English
659,Echo Valley,"Echo Valley is a 2025 American thriller film directed by Michael Pearce and written by Brad Ingelsby. The film stars Julianne Moore, Sydney Sweeney, Domhnall Gleeson, Kyle MacLachlan, and Fiona Shaw. Its plot follows a horse trainer who, while living a quiet life on a Pennsylvania farm, must aid her daughter who has come to her in an alarming state.",Michael Pearce,Brad Ingelsby,"Ridley Scott, Michael Pruss, Brad Ingelsby, Kevin J. Walsh","Julianne Moore, Sydney Sweeney, Domhnall Gleeson, Kyle MacLachlan, Fiona Shaw, Albert Jones","Benjamin Kračun, [, 1, ]",Maya Maffioli,"June 6, 2025(United States)",United States,English
660,Echoes of Motherhood,"Echoes of Motherhood (恒星の向こう側) is a Japanese drama film written and directed by Nakagawa Ryutaro. It is his concluding film in a trilogy by the exploring themes of loss and renewal, following 2016 film Run, Faster Than Despair and 2018 film April's Long Dream. Starting Momoko Fukuchi, Naomi Kawase, Kanichiro and Aki Asakura, the film depicts the love and conflict between mother and daughter, and husband and wife.[2][3]",Nakagawa Ryutaro,,Momo Inaba,"Momoko Fukuchi, Naomi Kawase, Kanichiro, Aki Asakura",Ueno Senzo,Nakagawa Ryutaro,"October 29, 2025(Tokyo)",Japan,Japanese
661,Edagaiye Apaghatakke Karana,"Edagaiye Apaghatakke Karana (transl. Left hand is the cause of accident) is a 2025 Indian Kannada black comedy suspense thriller film written and directed by Samarth Kadkol, who co-produced the film with Gurudath Ganiga under Hyphen Pictures and Gurudatha Ganiga Films Banner. The film stars Diganth, Dhanu Harsha, Nidhi Subbaiah in lead roles. The music for the film is composed by Praddyotan and cinematography by Abhimanyu Sadanandan.",Samarth Kadkol,"Samarth Kadkol, Dialogues:, Samarth B Kadkol, Rahul Parvatikar, Sripad Joshi","Samarth B Kadkol, Rajesh Keelambi, Ranjini Prasanna, Gurudath Ganiga","Diganth, Dhanu Harsha, Nidhi Subbaiah, Radhika Narayan, Krishna Hebbale, Saurav Lokesh",Abhimanyu Sadanandan,Praveen Shivanna,13 June 2025,India,Kannada
662,Eddington,"Eddington is a 2025 American satirical neo-Western thriller film[5][6][7] written and directed by Ari Aster, and starring Joaquin Phoenix, Pedro Pascal, Luke Grimes, Deirdre O'Connell, Micheal Ward, Austin Butler, and Emma Stone. Set in 2020 during the COVID-19 pandemic and George Floyd protests, the film examines the political and social turmoil in the fictional town of Eddington, New Mexico caused by the contested mayoral election fought between Sheriff Joe Cross (Phoenix) and Mayor Ted Garcia (Pascal).[8]",Ari Aster,Ari Aster,"Lars Knudsen, Ari Aster, Ann Ruark","Joaquin Phoenix, Pedro Pascal, Luke Grimes, Deirdre O'Connell, Micheal Ward, Austin Butler, Emma Stone",Darius Khondji,Lucian Johnston,"May 16, 2025(Cannes)",United States,English
663,Eenie Meanie,"Eenie Meanie is a 2025 American heist comedy thriller[3] film written and directed by Shawn Simmons, in his feature directorial debut. Samara Weaving leads an ensemble cast that includes Karl Glusman, Jermaine Fowler, Marshawn Lynch, Steve Zahn, and Andy Garcia. It was released on Hulu on August 22, 2025.",Shawn Simmons,Shawn Simmons,"Rhett Reese, Paul Wernick, Marty Ewing","Samara Weaving, Karl Glusman, Jermaine Fowler, Marshawn Lynch, Steve Zahn, Andy Garcia",Tim Ives,"Dirk Westervelt, Chris Patterson","August 22, 2025",United States,English
664,Eesha,"Eesha is a 2025 Indian Telugu-language horror thriller film written and directed by Srinivas Manne.[2] The film features Thrigun, Hebah Patel, Akhil Raj Uddemari and Siri Hanmanth in lead roles.",Srinivas Manne,Srinivas Manne,Pothula Hema Venkateswara Rao,"Thrigun, Hebah Patel, Akhil Raj Uddemari, Siri Hanmanth",Santosh Sanamoni,Vinai Ramasamy V,25 December 2025,India,Telugu
665,Egghead Republic,"Egghead Republic is a 2025 Swedish science fiction film directed and written by Pella Kågerman and Hugo Lilja. Inspired in part by Kågerman's tenure at Vice Magazine and the novel The Egghead Republic by Arno Schmidt, the film is set in an alternate reality in which the Cold War persists and a nuclear bomb has struck in Soviet Kazakhstan.[1][2]","Pella Kågerman, Hugo Lilja",,"Nina Lund, Pella Kågerman","Ella Rae Rappaport, Tyler Labine, Arvin Kananian, Emma Creed",Malin Gutke,Oskar Blondell,5 September 2025(TIFF),Sweden,"Swedish, English"
